value	cognitive	vocalisation	WLZ_WHZ
-2.0	0.0034941399935632944	-0.011956929229199886	-0.3266485035419464
-1.8	0.0034294994547963142	-0.010847686789929867	-0.33014288544654846
-1.6	0.00856532622128725	-0.011036447249352932	-0.32757243514060974
-1.4	0.009137669578194618	-0.010100306011736393	-0.3294326066970825
-1.2	0.012196077033877373	-0.015863431617617607	-0.32709556818008423
-1.0	0.013100741431117058	-0.011705026030540466	-0.3267124593257904
-0.7999999999999998	0.01205062959343195	-0.011771753430366516	-0.32811880111694336
-0.5999999999999999	0.013721141032874584	-0.010834767483174801	-0.32819250226020813
-0.3999999999999999	0.01515919715166092	-0.014675617218017578	-0.3262181282043457
-0.19999999999999996	0.019283903762698174	-0.009936816059052944	-0.3254532217979431
0.0	0.018486125394701958	-0.012434042058885098	-0.3278363347053528
0.20000000000000018	0.0202912837266922	-0.012079726904630661	-0.32842162251472473
0.40000000000000036	0.022791733965277672	-0.010437999852001667	-0.3327483832836151
0.6000000000000001	0.025039393454790115	-0.01136635523289442	-0.3283859193325043
0.8000000000000003	0.02567543275654316	-0.009805063717067242	-0.329694002866745
1.0	0.026665600016713142	-0.012306337244808674	-0.32839179039001465
1.2000000000000002	0.028749816119670868	-0.013716095127165318	-0.33019256591796875
1.4000000000000004	0.028518008068203926	-0.012257372960448265	-0.3257390558719635
1.6	0.02923036552965641	-0.013085348531603813	-0.3266849219799042
1.8000000000000003	0.02867237851023674	-0.014466390013694763	-0.3289373219013214
2.0	0.03354237228631973	-0.012113910168409348	-0.32645609974861145
