subjectID	Fathers_Educational_attainment	Mothers_Educational_attainment
LCC1001	H	I
LCC1002	I	F
LCC1003	K	G
LCC1004	H	D
LCC1005	A	G
LCC1006	E	H
LCC1007	G	J
LCC1008	A	A
LCC1009	H	B
LCC1010	D	F
LCC1011	B	H
LCC1012	G	C
LCC1013	E	E
LCC1014	A	H
LCC1015	E	F
LCC1016	A	F
LCC1017	A	A
LCC1018	F	D
LCC1019	D	I
LCC1020	E	F
LCC1021	C	A
LCC1022	A	A
LCC1023	J	J
LCC1024	E	I
LCC1025	C	E
LCC1026	C	A
LCC1027	I	H
LCC1028	E	H
LCC1029	K	H
LCC1030	D	I
LCC1031	D	D
LCC1032	D	D
LCC1033	K	K
LCC1034	E	G
LCC1035	A	A
LCC1036	H	H
LCC1037	A	A
LCC1038	A	C
LCC1039	H	A
LCC1040	A	D
LCC1041	M	G
LCC1042	D	D
LCC1043	D	G
LCC1044	E	H
LCC1045	I	N
LCC1046	E	J
LCC1047	A	H
LCC1048	K	I
LCC1049	B	F
LCC1050	B	D
LCC1051	K	J
LCC1052	G	J
LCC1053	D	D
LCC1054	E	I
LCC1055	E	C
LCC1056	H	G
LCC1057	A	G
LCC1058	G	D
LCC1059	F	D
LCC1060	H	E
LCC1061	G	D
LCC1062	A	A
LCC1063	D	I
LCC1064	H	D
LCC1065	A	F
LCC1066	A	I
LCC1067	H	H
LCC1068	H	E
LCC1069	E	E
LCC1070	D	D
LCC1071	E	E
LCC1072	A	E
LCC1073	C	C
LCC1074	G	H
LCC1075	I	D
LCC1076	E	J
LCC1077	E	E
LCC1078	E	H
LCC1079	D	D
LCC1080	A	A
LCC1081	I	F
LCC1082	H	J
LCC1083	H	G
LCC1084	E	E
LCC1085	L	E
LCC1086	A	F
LCC1087	E	D
LCC1088	A	G
LCC1089	A	D
LCC1090	H	D
LCC1091	H	D
LCC1092	G	A
LCC1093	A	F
LCC1094	A	A
LCC1095	A	D
LCC1096	I	I
LCC1097	K	J
LCC1098	I	H
LCC1099	D	G
LCC1100	A	A
LCC1101	E	A
LCC1102	E	J
LCC1103	H	H
LCC1104	J	K
LCC1105	A	F
LCC1106	A	A
LCC1107	C	D
LCC1108	K	N
LCC1109	J	H
LCC1110	H	H
LCC1111	A	C
LCC1112	B	A
LCC1113	H	B
LCC1114	E	E
LCC1115	E	G
LCC1116	E	H
LCC1117	J	K
LCC1118	J	J
LCC1119	D	H
LCC1120	A	E
LCC1121	C	G
LCC1122	E	A
LCC1123	D	B
LCC1124	E	F
LCC1125	E	I
LCC1126	D	D
LCC1127	H	J
LCC1128	A	A
LCC1129	A	C
LCC1130	I	G
LCC1131	A	A
LCC1132	E	H
LCC1133	F	I
LCC1134	E	D
LCC1135	A	A
LCC1136	A	A
LCC1137	G	I
LCC1138	C	B
LCC1139	B	G
LCC1140	I	I
LCC1141	G	C
LCC1142	E	A
LCC1143	A	E
LCC1144	H	E
LCC1145	H	F
LCC1146	I	E
LCC1147	I	H
LCC1148	E	D
LCC1149	A	A
LCC1150	A	B
LCC1151	D	E
LCC1152	H	E
LCC1153	A	D
LCC1154	K	K
LCC1155	A	B
LCC1156	A	E
LCC1157	E	A
LCC1158	A	C
LCC1159	E	G
LCC2001	D	H
LCC2002	E	E
LCC2003	C	I
LCC2004	B	G
LCC2005	K	I
LCC2006	G	K
LCC2007	J	N
LCC2008	D	D
LCC2009	K	O
LCC2010	A	A
LCC2011	G	F
LCC2012	C	B
LCC2013	A	A
LCC2014	I	H
LCC2015	I	D
LCC2016	H	A
LCC2017	G	D
LCC2018	I	H
LCC2019	C	C
LCC2020	H	I
LCC2021	O	N
LCC2022	B	D
LCC2023	H	D
LCC2024	E	J
LCC2025	D	D
LCC2026	D	K
LCC2027	I	A
LCC2028	F	H
LCC2029	F	B
LCC2030	A	D
LCC2031	D	E
LCC2032	E	H
LCC2033	B	E
LCC2034	H	C
LCC2035	H	J
LCC2036	A	E
LCC2037	E	D
LCC2038	E	E
LCC2039	G	I
LCC2040	D	G
LCC2041	E	E
LCC2042	J	G
LCC2043	H	F
LCC2044	K	E
LCC2045	N	K
LCC2046	E	J
LCC2047	D	B
LCC2048	K	L
LCC2049	O	K
LCC2050	G	F
LCC2051	G	G
LCC2052	F	E
LCC2053	I	K
LCC2054	G	E
LCC2055	I	A
LCC2056	E	G
LCC2057	H	G
LCC2058	I	A
LCC2059	A	A
LCC2060	G	H
LCC2061	A	D
LCC2062	O	O
LCC2063	C	D
LCC2064	E	E
LCC2065	E	D
LCC2066	H	H
LCC2067	A	D
LCC2068	E	C
LCC2069	A	E
LCC2070	A	E
LCC2071	J	H
LCC2072	K	J
LCC2073	I	E
LCC2074	K	O
LCC2075	A	A
