subjectID	Number_of_living_children
LCC1001	B
LCC1002	A
LCC1003	A
LCC1004	C
LCC1005	B
LCC1006	A
LCC1007	D
LCC1008	B
LCC1009	C
LCC1010	A
LCC1011	B
LCC1012	A
LCC1013	A
LCC1014	A
LCC1015	A
LCC1016	A
LCC1017	C
LCC1018	C
LCC1019	B
LCC1020	B
LCC1021	B
LCC1022	B
LCC1023	A
LCC1024	A
LCC1025	A
LCC1026	D
LCC1027	A
LCC1028	A
LCC1029	B
LCC1030	B
LCC1031	B
LCC1032	B
LCC1033	B
LCC1034	A
LCC1035	B
LCC1036	A
LCC1037	A
LCC1038	D
LCC1039	A
LCC1040	A
LCC1041	C
LCC1042	A
LCC1043	A
LCC1044	B
LCC1045	D
LCC1046	B
LCC1047	A
LCC1048	A
LCC1049	A
LCC1050	B
LCC1051	A
LCC1052	B
LCC1053	A
LCC1054	A
LCC1055	A
LCC1056	A
LCC1057	A
LCC1058	A
LCC1059	A
LCC1060	A
LCC1061	C
LCC1062	B
LCC1063	A
LCC1064	A
LCC1065	C
LCC1066	B
LCC1067	B
LCC1068	C
LCC1069	A
LCC1070	C
LCC1071	A
LCC1072	C
LCC1073	C
LCC1074	B
LCC1075	B
LCC1076	A
LCC1077	A
LCC1078	A
LCC1079	A
LCC1080	E
LCC1081	A
LCC1082	B
LCC1083	B
LCC1084	A
LCC1085	C
LCC1086	B
LCC1087	C
LCC1088	C
LCC1089	C
LCC1090	C
LCC1091	D
LCC1092	A
LCC1093	B
LCC1094	B
LCC1095	A
LCC1096	B
LCC1097	B
LCC1098	A
LCC1099	A
LCC1100	D
LCC1101	B
LCC1102	B
LCC1103	A
LCC1104	B
LCC1105	D
LCC1106	C
LCC1107	A
LCC1108	A
LCC1109	B
LCC1110	B
LCC1111	B
LCC1112	A
LCC1113	B
LCC1114	A
LCC1115	A
LCC1116	C
LCC1117	A
LCC1118	A
LCC1119	A
LCC1120	B
LCC1121	C
LCC1122	C
LCC1123	B
LCC1124	B
LCC1125	B
LCC1126	B
LCC1127	A
LCC1128	B
LCC1129	E
LCC1130	A
LCC1131	A
LCC1132	B
LCC1133	B
LCC1134	B
LCC1135	C
LCC1136	A
LCC1137	A
LCC1138	C
LCC1139	A
LCC1140	A
LCC1141	A
LCC1142	B
LCC1143	A
LCC1144	A
LCC1145	B
LCC1146	B
LCC1147	B
LCC1148	A
LCC1149	D
LCC1150	A
LCC1151	A
LCC1152	A
LCC1153	C
LCC1154	B
LCC1155	A
LCC1156	F
LCC1157	A
LCC1158	C
LCC1159	B
LCC2001	B
LCC2002	A
LCC2003	A
LCC2004	D
LCC2005	A
LCC2006	A
LCC2007	B
LCC2008	D
LCC2009	B
LCC2010	B
LCC2011	A
LCC2012	B
LCC2013	C
LCC2014	C
LCC2015	A
LCC2016	A
LCC2017	B
LCC2018	B
LCC2019	C
LCC2020	A
LCC2021	B
LCC2022	A
LCC2023	A
LCC2024	A
LCC2025	B
LCC2026	B
LCC2027	A
LCC2028	A
LCC2029	B
LCC2030	A
LCC2031	B
LCC2032	B
LCC2033	C
LCC2034	A
LCC2035	A
LCC2036	B
LCC2037	C
LCC2038	B
LCC2039	B
LCC2040	C
LCC2041	B
LCC2042	B
LCC2043	B
LCC2044	A
LCC2045	A
LCC2046	A
LCC2047	B
LCC2048	B
LCC2049	B
LCC2050	A
LCC2051	C
LCC2052	B
LCC2053	B
LCC2054	A
LCC2055	B
LCC2056	A
LCC2057	A
LCC2058	C
LCC2059	C
LCC2060	A
LCC2061	B
LCC2062	B
LCC2063	B
LCC2064	A
LCC2065	B
LCC2066	A
LCC2067	C
LCC2068	D
LCC2069	A
LCC2070	B
LCC2071	A
LCC2072	C
LCC2073	B
LCC2074	B
LCC2075	D
