subjectID	Number_of_mobile_phone_users_in_household	Reads_the_newspaper	Listens_to_or_watches_Radio_or_TV	Uses_social_media
LCC1001	2	No	Regular	No
LCC1002	2	No	Regular	No
LCC1003	5	No	Regular	Regular
LCC1004	3	No	Regular	No
LCC1005	1	No	No	No
LCC1006	2	No	No	Regular
LCC1007	1	No	Irregularly	Regular
LCC1008	1	No	No	No
LCC1009	2	No	Regular	No
LCC1010	2	No	No	No
LCC1011	1	No	No	No
LCC1012	2	No	No	No
LCC1013	4	No	Regular	No
LCC1014	1	No	Regular	No
LCC1015	3	No	Regular	Regular
LCC1016	2	No	No	No
LCC1017	2	No	No	No
LCC1018	2	No	No	No
LCC1019	1	No	Irregularly	Regular
LCC1020	1	No	No	No
LCC1021	1	No	No	No
LCC1022	1	No	No	No
LCC1023	2	No	No	Regular
LCC1024	2	No	Irregularly	Regular
LCC1025	1	No	No	Regular
LCC1026	2	Regular	No	No
LCC1027	2	No	Irregularly	No
LCC1028	1	No	No	No
LCC1029	2	No	No	Regular
LCC1030	3	No	Regular	Irregularly
LCC1031	2	No	Regular	No
LCC1032	2	No	Regular	No
LCC1033	2	No	Regular	Irregularly
LCC1034	4	No	Regular	No
LCC1035	2	No	Regular	No
LCC1036	2	No	Regular	Irregularly
LCC1037	2	No	Regular	No
LCC1038	7	No	Irregularly	Irregularly
LCC1039	2	No	No	No
LCC1040	0	No	No	No
LCC1041	2	No	No	No
LCC1042	2	No	No	No
LCC1043	2	No	No	No
LCC1044	1	No	No	No
LCC1045	6	Irregularly	No	Regular
LCC1046	2	No	Regular	Regular
LCC1047	3	No	Regular	Irregularly
LCC1048	2	Irregularly	Regular	Regular
LCC1049	2	No	No	No
LCC1050	2	No	No	No
LCC1051	3	No	Regular	Regular
LCC1052	3	No	Regular	Irregularly
LCC1053	1	No	Irregularly	Regular
LCC1054	1	No	No	No
LCC1055	4	No	No	No
LCC1056	2	No	Regular	Regular
LCC1057	3	No	Regular	Regular
LCC1058	1	No	Regular	No
LCC1059	2	No	Regular	Regular
LCC1060	2	No	No	No
LCC1061	2	No	Regular	No
LCC1062	1	No	Regular	No
LCC1063	2	No	Regular	No
LCC1064	2	No	Regular	No
LCC1065	1	No	No	No
LCC1066	3	No	No	No
LCC1067	2	No	Irregularly	Regular
LCC1068	2	Regular	Regular	No
LCC1069	2	No	No	No
LCC1070	1	No	Regular	No
LCC1071	1	No	No	No
LCC1072	1	No	No	No
LCC1073	1	No	No	No
LCC1074	3	No	Regular	Regular
LCC1075	2	No	No	Irregularly
LCC1076	2	No	Regular	Irregularly
LCC1077	2	No	Regular	Irregularly
LCC1078	2	No	No	Irregularly
LCC1079	1	No	Irregularly	No
LCC1080	2	No	Regular	No
LCC1081	2	No	No	No
LCC1082	2	No	No	Regular
LCC1083	2	No	No	No
LCC1084	2	No	No	No
LCC1085	2	Regular	No	Irregularly
LCC1086	2	No	No	No
LCC1087	2	No	Irregularly	No
LCC1088	1	No	No	No
LCC1089	2	No	No	No
LCC1090	2	No	Regular	No
LCC1091	4	No	Regular	No
LCC1092	1	No	Regular	No
LCC1093	3	No	Regular	No
LCC1094	2	No	No	No
LCC1095	2	No	Regular	No
LCC1096	1	No	Regular	No
LCC1097	4	No	No	Regular
LCC1098	2	No	Regular	Irregularly
LCC1099	2	No	Irregularly	No
LCC1100	1	No	Regular	No
LCC1101	2	No	No	No
LCC1102	1	No	No	No
LCC1103	4	No	Regular	Regular
LCC1104	2	Irregularly	Regular	Regular
LCC1105	2	No	Regular	No
LCC1106	1	No	No	No
LCC1107	1	No	No	No
LCC1108	3	No	No	Regular
LCC1109	3	No	Regular	Irregularly
LCC1110	3	No	Regular	Irregularly
LCC1111	2	No	No	No
LCC1112	2	No	Regular	No
LCC1113	2	No	No	No
LCC1114	3	No	Regular	No
LCC1115	2	No	No	Regular
LCC1116	3	No	Regular	No
LCC1117	3	No	Regular	Regular
LCC1118	2	No	Regular	Regular
LCC1119	4	No	Regular	No
LCC1120	2	No	Regular	No
LCC1121	2	No	No	No
LCC1122	3	No	Regular	No
LCC1123	2	No	Regular	No
LCC1124	2	No	No	Regular
LCC1125	3	No	Regular	No
LCC1126	3	No	No	No
LCC1127	3	No	Regular	Regular
LCC1128	2	No	No	No
LCC1129	3	No	No	No
LCC1130	2	No	No	No
LCC1131	2	No	No	No
LCC1132	3	No	Regular	No
LCC1133	4	No	Regular	Regular
LCC1134	2	No	Regular	No
LCC1135	2	No	Regular	No
LCC1136	1	No	Regular	No
LCC1137	1	No	No	Regular
LCC1138	1	No	Regular	No
LCC1139	1	No	Irregularly	No
LCC1140	3	No	Regular	Irregularly
LCC1141	1	No	No	No
LCC1142	2	No	Regular	No
LCC1143	1	No	No	Regular
LCC1144	2	No	Regular	No
LCC1145	2	No	Regular	No
LCC1146	2	No	Regular	No
LCC1147	2	No	No	Regular
LCC1148	2	No	Regular	No
LCC1149	1	No	No	No
LCC1150	1	No	No	No
LCC1151	1	No	Regular	No
LCC1152	2	No	No	Irregularly
LCC1153	2	No	Regular	No
LCC1154	4	No	Regular	Regular
LCC1155	2	No	No	No
LCC1156	1	No	Regular	No
LCC1157	1	No	No	No
LCC1158	3	No	Regular	No
LCC1159	3	No	Irregularly	No
LCC2001	2	No	Regular	No
LCC2002	2	No	Regular	No
LCC2003	5	No	Regular	Regular
LCC2004	2	No	No	No
LCC2005	1	No	No	Irregularly
LCC2006	2	No	No	No
LCC2007	2	Irregularly	Regular	No
LCC2008	4	No	No	No
LCC2009	2	Irregularly	Regular	Regular
LCC2010	1	No	No	No
LCC2011	4	No	Regular	No
LCC2012	4	No	Irregularly	No
LCC2013	2	No	No	Regular
LCC2014	2	No	Regular	Regular
LCC2015	1	No	No	No
LCC2016	1	No	Regular	No
LCC2017	2	No	Regular	No
LCC2018	2	No	No	No
LCC2019	1	No	No	No
LCC2020	2	No	Regular	Regular
LCC2021	2	No	Regular	No
LCC2022	2	No	No	No
LCC2023	2	No	No	No
LCC2024	2	No	Irregularly	Regular
LCC2025	2	No	Regular	No
LCC2026	2	No	No	Regular
LCC2027	1	No	No	No
LCC2028	2	No	Regular	Regular
LCC2029	2	No	Regular	No
LCC2030	2	No	Regular	No
LCC2031	2	No	Irregularly	No
LCC2032	3	No	Regular	Regular
LCC2033	2	No	Regular	No
LCC2034	2	No	No	Regular
LCC2035	2	No	No	No
LCC2036	2	No	No	Irregularly
LCC2037	2	No	Regular	No
LCC2038	2	No	Regular	Regular
LCC2039	2	No	Regular	No
LCC2040	4	No	Regular	Regular
LCC2041	2	No	Regular	No
LCC2042	2	No	No	Regular
LCC2043	1	No	Regular	Regular
LCC2044	2	No	Regular	Regular
LCC2045	4	Irregularly	Regular	Regular
LCC2046	2	No	No	No
LCC2047	2	No	Regular	Irregularly
LCC2048	2	No	Regular	Irregularly
LCC2049	4	No	No	Regular
LCC2050	4	No	Regular	Irregularly
LCC2051	1	No	No	No
LCC2052	3	No	Regular	Irregularly
LCC2053	2	No	No	Regular
LCC2054	1	No	Regular	No
LCC2055	2	No	Regular	No
LCC2056	4	No	Regular	Irregularly
LCC2057	2	No	Regular	Regular
LCC2058	1	No	Regular	No
LCC2059	4	No	Regular	Regular
LCC2060	3	No	Regular	Irregularly
LCC2061	2	No	No	No
LCC2062	4	No	Regular	Regular
LCC2063	2	No	Regular	Regular
LCC2064	1	No	No	No
LCC2065	2	No	Irregularly	No
LCC2066	3	No	Regular	Regular
LCC2067	1	No	Regular	No
LCC2068	2	No	Irregularly	Irregularly
LCC2069	1	No	No	No
LCC2070	2	No	No	No
LCC2071	2	No	Regular	No
LCC2072	7	No	No	Regular
LCC2073	6	No	Regular	Regular
LCC2074	2	Regular	Regular	No
LCC2075	1	No	No	No
